kind,noise,n,d,b,method,power,n_reps,null_size,advantage,power_hsic
conf_nonlin,gauss,8000,2,0.4,k2,0.06,200,0.015,0.045,0.68
conf_nonlin,gauss,8000,2,0.6,hsic,0.665,200,0.0,0.665,0.665
conf_nonlin,gauss,8000,2,0.6,k1,0.09,200,0.0,0.09,0.665
conf_nonlin,gauss,8000,2,0.6,k2,0.06,200,0.015,0.045,0.665
conf_nonlin,gauss,8000,2,0.8,hsic,0.615,200,0.0,0.615,0.615
conf_nonlin,gauss,8000,2,0.8,k1,0.09,200,0.0,0.09,0.615
conf_nonlin,gauss,8000,2,0.8,k2,0.06,200,0.015,0.045,0.615
conf_nonlin,gauss,8000,3,0.2,hsic,0.69,200,0.0,0.69,0.69
conf_nonlin,gauss,8000,3,0.2,k1,0.09,200,0.0,0.09,0.69
conf_nonlin,gauss,8000,3,0.2,k2,0.06,200,0.015,0.045,0.69
conf_nonlin,gauss,8000,3,0.4,hsic,0.68,200,0.0,0.68,0.68
conf_nonlin,gauss,8000,3,0.4,k1,0.09,200,0.0,0.09,0.68
conf_nonlin,gauss,8000,3,0.4,k2,0.06,200,0.015,0.045,0.68
conf_nonlin,gauss,8000,3,0.6,hsic,0.665,200,0.0,0.665,0.665
conf_nonlin,gauss,8000,3,0.6,k1,0.09,200,0.0,0.09,0.665
conf_nonlin,gauss,8000,3,0.6,k2,0.06,200,0.015,0.045,0.665
conf_nonlin,gauss,8000,3,0.8,hsic,0.615,200,0.0,0.615,0.615
conf_nonlin,gauss,8000,3,0.8,k1,0.09,200,0.0,0.09,0.615
conf_nonlin,gauss,8000,3,0.8,k2,0.06,200,0.015,0.045,0.615
conf_nonlin,gauss,8000,5,0.2,hsic,0.69,200,0.0,0.69,0.69
conf_nonlin,gauss,8000,5,0.2,k1,0.09,200,0.0,0.09,0.69
conf_nonlin,gauss,8000,5,0.2,k2,0.06,200,0.015,0.045,0.69
conf_nonlin,gauss,8000,5,0.4,hsic,0.68,200,0.0,0.68,0.68
conf_nonlin,gauss,8000,5,0.4,k1,0.09,200,0.0,0.09,0.68
conf_nonlin,gauss,8000,5,0.4,k2,0.06,200,0.015,0.045,0.68
conf_nonlin,gauss,8000,5,0.6,hsic,0.665,200,0.0,0.665,0.665
conf_nonlin,gauss,8000,5,0.6,k1,0.09,200,0.0,0.09,0.665
conf_nonlin,gauss,8000,5,0.6,k2,0.06,200,0.015,0.045,0.665
conf_nonlin,gauss,8000,5,0.8,hsic,0.615,200,0.0,0.615,0.615
conf_nonlin,gauss,8000,5,0.8,k1,0.09,200,0.0,0.09,0.615
conf_nonlin,gauss,8000,5,0.8,k2,0.06,200,0.015,0.045,0.615
conf_nonlin,gauss,20000,2,0.2,hsic,0.76,200,0.0,0.76,0.76
conf_nonlin,gauss,20000,2,0.2,k1,0.205,200,0.01,0.19499999999999998,0.76
conf_nonlin,gauss,20000,2,0.2,k2,0.33,200,0.015,0.315,0.76
conf_nonlin,gauss,20000,2,0.4,hsic,0.745,200,0.0,0.745,0.745
conf_nonlin,gauss,20000,2,0.4,k1,0.205,200,0.01,0.19499999999999998,0.745
conf_nonlin,gauss,20000,2,0.4,k2,0.33,200,0.015,0.315,0.745
conf_nonlin,gauss,20000,2,0.6,hsic,0.725,200,0.0,0.725,0.725
conf_nonlin,gauss,20000,2,0.6,k1,0.205,200,0.01,0.19499999999999998,0.725
conf_nonlin,gauss,20000,2,0.6,k2,0.33,200,0.015,0.315,0.725
conf_nonlin,gauss,20000,2,0.8,hsic,0.69,200,0.0,0.69,0.69
conf_nonlin,gauss,20000,2,0.8,k1,0.205,200,0.01,0.19499999999999998,0.69
conf_nonlin,gauss,20000,2,0.8,k2,0.33,200,0.015,0.315,0.69
conf_nonlin,gauss,20000,3,0.2,hsic,0.76,200,0.0,0.76,0.76
conf_nonlin,gauss,20000,3,0.2,k1,0.205,200,0.01,0.19499999999999998,0.76
conf_nonlin,gauss,20000,3,0.2,k2,0.33,200,0.015,0.315,0.76
conf_nonlin,gauss,20000,3,0.4,hsic,0.745,200,0.0,0.745,0.745
conf_nonlin,gauss,20000,3,0.4,k1,0.205,200,0.01,0.19499999999999998,0.745
conf_nonlin,gauss,20000,3,0.4,k2,0.33,200,0.015,0.315,0.745
conf_nonlin,gauss,20000,3,0.6,hsic,0.725,200,0.0,0.725,0.725
conf_nonlin,gauss,20000,3,0.6,k1,0.205,200,0.01,0.19499999999999998,0.725
conf_nonlin,gauss,20000,3,0.6,k2,0.33,200,0.015,0.315,0.725
conf_nonlin,gauss,20000,3,0.8,hsic,0.69,200,0.0,0.69,0.69
conf_nonlin,gauss,20000,3,0.8,k1,0.205,200,0.01,0.19499999999999998,0.69
conf_nonlin,gauss,20000,3,0.8,k2,0.33,200,0.015,0.315,0.69
conf_nonlin,gauss,20000,5,0.2,hsic,0.76,200,0.0,0.76,0.76
conf_nonlin,gauss,20000,5,0.2,k1,0.205,200,0.01,0.19499999999999998,0.76
conf_nonlin,gauss,20000,5,0.2,k2,0.33,200,0.015,0.315,0.76
conf_nonlin,gauss,20000,5,0.4,hsic,0.745,200,0.0,0.745,0.745
conf_nonlin,gauss,20000,5,0.4,k1,0.205,200,0.01,0.19499999999999998,0.745
conf_nonlin,gauss,20000,5,0.4,k2,0.33,200,0.015,0.315,0.745
conf_nonlin,gauss,20000,5,0.6,hsic,0.725,200,0.0,0.725,0.725
conf_nonlin,gauss,20000,5,0.6,k1,0.205,200,0.01,0.19499999999999998,0.725
conf_nonlin,gauss,20000,5,0.6,k2,0.33,200,0.015,0.315,0.725
conf_nonlin,gauss,20000,5,0.8,hsic,0.69,200,0.0,0.69,0.69
conf_nonlin,gauss,20000,5,0.8,k1,0.205,200,0.01,0.19499999999999998,0.69
conf_nonlin,gauss,20000,5,0.8,k2,0.33,200,0.015,0.315,0.69
conf_nonlin,t3,2000,2,0.2,hsic,0.095,200,0.0,0.095,0.095
conf_nonlin,t3,2000,2,0.2,k1,0.92,200,0.005,0.915,0.095
conf_nonlin,t3,2000,2,0.2,k2,0.38,200,0.075,0.305,0.095
conf_nonlin,t3,2000,2,0.4,hsic,0.09,200,0.0,0.09,0.09
