arm,cell,Q,n,rep,method,seconds,peak_bytes
discrete,2-2-5,100,2000,8,slack_lp,0.0042946760004269,150238
discrete,2-2-5,100,2000,9,stats_all,0.0162899459974141,155212
discrete,2-2-5,100,2000,9,cf1_lp,0.0034809110002242,66808
discrete,2-2-5,100,2000,9,slack_lp,0.0045102179938112,150238
discrete,2-2-5,100,2000,10,stats_all,0.0155438560032052,155354
discrete,2-2-5,100,2000,10,cf1_lp,0.0037445740017574,66808
discrete,2-2-5,100,2000,10,slack_lp,0.0046279059970402,150238
discrete,2-2-5,100,2000,11,stats_all,0.0146962229991913,155250
discrete,2-2-5,100,2000,11,cf1_lp,0.0033846689984784,66808
discrete,2-2-5,100,2000,11,slack_lp,0.0044082079984946,150238
discrete,2-2-5,100,2000,12,stats_all,0.0147165739981574,155328
discrete,2-2-5,100,2000,12,cf1_lp,0.0033568700018804,66808
discrete,2-2-5,100,2000,12,slack_lp,0.0051386280028964,150238
discrete,2-2-5,100,2000,13,stats_all,0.0169561879956745,155374
discrete,2-2-5,100,2000,13,cf1_lp,0.0034613469979376,66808
discrete,2-2-5,100,2000,13,slack_lp,0.0043150970013812,150238
discrete,2-2-5,100,2000,14,stats_all,0.0170697360008489,155212
discrete,2-2-5,100,2000,14,cf1_lp,0.003771333998884,66808
discrete,2-2-5,100,2000,14,slack_lp,0.0051386109989834,150238
discrete,2-2-5,100,2000,15,stats_all,0.0168360519965062,155212
discrete,2-2-5,100,2000,15,cf1_lp,0.0038217940018512,66808
discrete,2-2-5,100,2000,15,slack_lp,0.0042867390002356,150238
discrete,2-2-5,100,2000,16,stats_all,0.0149028629966778,155258
discrete,2-2-5,100,2000,16,cf1_lp,0.0035246549959992,66808
discrete,2-2-5,100,2000,16,slack_lp,0.0044504129982669,150238
discrete,2-2-5,100,2000,17,stats_all,0.0164883569959783,155136
discrete,2-2-5,100,2000,17,cf1_lp,0.0034424839977873,66808
discrete,2-2-5,100,2000,17,slack_lp,0.004185077996226,150238
discrete,2-2-5,100,2000,18,stats_all,0.0161766940000234,155234
discrete,2-2-5,100,2000,18,cf1_lp,0.0035167730020475,66808
discrete,2-2-5,100,2000,18,slack_lp,0.0044876820029458,150238
discrete,2-2-5,100,2000,19,stats_all,0.0153585389998625,155214
discrete,2-2-5,100,2000,19,cf1_lp,0.0034873990007326,66808
discrete,2-2-5,100,2000,19,slack_lp,0.0052864739991491,150238
discrete,2-2-5,100,8000,0,stats_all,0.0162931519953417,155166
discrete,2-2-5,100,8000,0,cf1_lp,0.0039173139957711,66808
discrete,2-2-5,100,8000,0,slack_lp,0.0051949800035799,150238
discrete,2-2-5,100,8000,1,stats_all,0.0178288540046196,155256
discrete,2-2-5,100,8000,1,cf1_lp,0.0038342690022545,66808
discrete,2-2-5,100,8000,1,slack_lp,0.0045290249981917,150238
discrete,2-2-5,100,8000,2,stats_all,0.0165424420047202,155134
discrete,2-2-5,100,8000,2,cf1_lp,0.0040984930019476,66808
discrete,2-2-5,100,8000,2,slack_lp,0.0048938280015136,150238
discrete,2-2-5,100,8000,3,stats_all,0.0155463970004348,155322
discrete,2-2-5,100,8000,3,cf1_lp,0.0033772139940992,66808
discrete,2-2-5,100,8000,3,slack_lp,0.0043360299969208,150238
discrete,2-2-5,100,8000,4,stats_all,0.0149617559945909,155326
discrete,2-2-5,100,8000,4,cf1_lp,0.0033627619995968,66808
discrete,2-2-5,100,8000,4,slack_lp,0.0041903310047928,150238
discrete,2-2-5,100,8000,5,stats_all,0.0143734390003373,155180
discrete,2-2-5,100,8000,5,cf1_lp,0.003693712002132,66808
discrete,2-2-5,100,8000,5,slack_lp,0.0046438540011877,150238
discrete,2-2-5,100,8000,6,stats_all,0.0164785070010111,155190
discrete,2-2-5,100,8000,6,cf1_lp,0.003520510996168,66808
discrete,2-2-5,100,8000,6,slack_lp,0.0044489049978437,150238
discrete,2-2-5,100,8000,7,stats_all,0.0170539940008893,155212
