cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-5,A1_two_null_mixture,none,2000,900028,,cf1_margin,none,0.021065048870913428
2-2-5,A1_two_null_mixture,none,2000,900028,,slack_plugin,none,0.0421300977418268
2-2-5,A1_two_null_mixture,none,2000,900028,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900028,,gtest,none,2708.881782613601
2-2-5,A1_two_null_mixture,none,2000,900029,,kl_plugin,none,0.001882675802526504
2-2-5,A1_two_null_mixture,none,2000,900029,,kl_split,none,0.011174498743144107
2-2-5,A1_two_null_mixture,none,2000,900029,,kl_crossfit,none,0.008185861356055419
2-2-5,A1_two_null_mixture,none,2000,900029,,cf1_margin,none,0.04336099764983392
2-2-5,A1_two_null_mixture,none,2000,900029,,slack_plugin,none,0.08672199529966784
2-2-5,A1_two_null_mixture,none,2000,900029,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900029,,gtest,none,924.3001294009604
2-2-5,A1_two_null_mixture,none,2000,900030,,kl_plugin,none,5.181040781584064e-17
2-2-5,A1_two_null_mixture,none,2000,900030,,kl_split,none,0.005602106100579304
2-2-5,A1_two_null_mixture,none,2000,900030,,kl_crossfit,none,0.005588944075864494
2-2-5,A1_two_null_mixture,none,2000,900030,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900030,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900030,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900030,,gtest,none,1313.4654615772524
2-2-5,A1_two_null_mixture,none,2000,900031,,kl_plugin,none,6.470442282135656e-14
2-2-5,A1_two_null_mixture,none,2000,900031,,kl_split,none,0.005705502063366924
2-2-5,A1_two_null_mixture,none,2000,900031,,kl_crossfit,none,0.007589401632429708
2-2-5,A1_two_null_mixture,none,2000,900031,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900031,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900031,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900031,,gtest,none,2325.037727942189
2-2-5,A1_two_null_mixture,none,2000,900032,,kl_plugin,none,5.578495071527457e-17
2-2-5,A1_two_null_mixture,none,2000,900032,,kl_split,none,0.012896858258208941
2-2-5,A1_two_null_mixture,none,2000,900032,,kl_crossfit,none,0.012903880271881458
2-2-5,A1_two_null_mixture,none,2000,900032,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900032,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900032,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900032,,gtest,none,2772.588722239781
2-2-5,A1_two_null_mixture,none,2000,900033,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900033,,kl_split,none,0.0012110210872571222
2-2-5,A1_two_null_mixture,none,2000,900033,,kl_crossfit,none,0.0012117381947135083
2-2-5,A1_two_null_mixture,none,2000,900033,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900033,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900033,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900033,,gtest,none,2772.588722239781
2-2-5,A1_two_null_mixture,none,2000,900034,,kl_plugin,none,5.2531427407711183e-17
2-2-5,A1_two_null_mixture,none,2000,900034,,kl_split,none,0.031543709238266326
2-2-5,A1_two_null_mixture,none,2000,900034,,kl_crossfit,none,0.031688931260906786
2-2-5,A1_two_null_mixture,none,2000,900034,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900034,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900034,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900034,,gtest,none,1459.7112594083635
2-2-5,A1_two_null_mixture,none,2000,900035,,kl_plugin,none,3.451063025628768e-14
2-2-5,A1_two_null_mixture,none,2000,900035,,kl_split,none,0.0014371292151700178
2-2-5,A1_two_null_mixture,none,2000,900035,,kl_crossfit,none,0.0015977787481258384
2-2-5,A1_two_null_mixture,none,2000,900035,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900035,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900035,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900035,,gtest,none,338.9647016729272
2-2-5,A1_two_null_mixture,none,2000,900036,,kl_plugin,none,0.0005066714173221822
2-2-5,A1_two_null_mixture,none,2000,900036,,kl_split,none,4.196177728139124e-05
2-2-5,A1_two_null_mixture,none,2000,900036,,kl_crossfit,none,0.0012476914080765743
2-2-5,A1_two_null_mixture,none,2000,900036,,cf1_margin,none,0.022505242698583228
2-2-5,A1_two_null_mixture,none,2000,900036,,slack_plugin,none,0.04501048539716629
2-2-5,A1_two_null_mixture,none,2000,900036,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900036,,gtest,none,998.966065629905
2-2-5,A1_two_null_mixture,none,2000,900037,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900037,,kl_split,none,3.850053449095791e-05
2-2-5,A1_two_null_mixture,none,2000,900037,,kl_crossfit,none,3.849631727887923e-05
2-2-5,A1_two_null_mixture,none,2000,900037,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900037,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900037,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900037,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900038,,kl_plugin,none,0.0007436017694684976
2-2-5,A1_two_null_mixture,none,2000,900038,,kl_split,none,0.0008305544993333861
2-2-5,A1_two_null_mixture,none,2000,900038,,kl_crossfit,none,0.0007836411491642711
2-2-5,A1_two_null_mixture,none,2000,900038,,cf1_margin,none,0.02726724628079813
2-2-5,A1_two_null_mixture,none,2000,900038,,slack_plugin,none,0.05453449256159615
2-2-5,A1_two_null_mixture,none,2000,900038,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900038,,gtest,none,334.50451664395007
2-2-5,A1_two_null_mixture,none,2000,900039,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900039,,kl_split,none,6.72314110112893e-05
