cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-4,A3_bursty_u_on_y,t3,2000,900019,,cf1_margin,none,0.011170741403299544
2-2-4,A3_bursty_u_on_y,t3,2000,900019,,slack_plugin,none,0.02234148280659909
2-2-4,A3_bursty_u_on_y,t3,2000,900019,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900019,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900020,,kl_plugin,none,1.1290829854058783e-16
2-2-4,A3_bursty_u_on_y,t3,2000,900020,,kl_split,none,0.0005948311885483207
2-2-4,A3_bursty_u_on_y,t3,2000,900020,,kl_crossfit,none,0.0005947739742373709
2-2-4,A3_bursty_u_on_y,t3,2000,900020,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900020,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900020,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900020,,gtest,none,729.8410814982213
2-2-4,A3_bursty_u_on_y,t3,2000,900021,,kl_plugin,none,0.01515109927583258
2-2-4,A3_bursty_u_on_y,t3,2000,900021,,kl_split,none,0.018900768396252925
2-2-4,A3_bursty_u_on_y,t3,2000,900021,,kl_crossfit,none,0.01590246051615399
2-2-4,A3_bursty_u_on_y,t3,2000,900021,,cf1_margin,none,0.12231274043901341
2-2-4,A3_bursty_u_on_y,t3,2000,900021,,slack_plugin,none,0.2446254808780267
2-2-4,A3_bursty_u_on_y,t3,2000,900021,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900021,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900022,,kl_plugin,none,0.0003380276477573142
2-2-4,A3_bursty_u_on_y,t3,2000,900022,,kl_split,none,1.180715236059329e-05
2-2-4,A3_bursty_u_on_y,t3,2000,900022,,kl_crossfit,none,0.0006021453687834074
2-2-4,A3_bursty_u_on_y,t3,2000,900022,,cf1_margin,none,0.01837913530544366
2-2-4,A3_bursty_u_on_y,t3,2000,900022,,slack_plugin,none,0.036758270610887434
2-2-4,A3_bursty_u_on_y,t3,2000,900022,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900022,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900023,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900023,,kl_split,none,0.0005934137941515719
2-2-4,A3_bursty_u_on_y,t3,2000,900023,,kl_crossfit,none,0.0005938421200293812
